No,Ch1,Ch2,Ch3,Ch4
21566,0.217,0.163,0.29,0.33
21567,0.106,0.215,0.386,0.293
21568,0.216,0.309,0.125,0.35
21569,0.398,0.16,0.196,0.246
21570,0.171,0.192,0.456,0.181
21571,0.092,0.461,0.149,0.298
21572,0.139,0.12,0.435,0.306
21573,0.167,0.162,0.228,0.443
21574,0.182,0.247,0.312,0.259
21575,0.083,0.116,0.552,0.249
21576,0.167,0.183,0.25,0.4
21577,0.192,0.131,0.495,0.182
21578,0.257,0.245,0.173,0.325
21579,0.136,0.164,0.181,0.519
21580,0.105,0.308,0.174,0.413
21581,0.245,0.16,0.188,0.407
21582,0.145,0.187,0.34,0.328
21583,0.148,0.171,0.24,0.441
21584,0.196,0.237,0.155,0.412
21585,0.283,0.239,0.17,0.308
21586,0.226,0.354,0.191,0.229
21587,0.099,0.425,0.218,0.258
21588,0.118,0.146,0.471,0.265
21589,0.149,0.148,0.415,0.288
21590,0.128,0.141,0.449,0.282
21591,0.101,0.235,0.314,0.35
21592,0.177,0.303,0.129,0.391
21593,0.459,0.195,0.116,0.23
21594,0.165,0.179,0.22,0.436
21595,0.248,0.189,0.125,0.438
21596,0.135,0.532,0.106,0.227
21597,0.343,0.242,0.129,0.286
21598,0.125,0.334,0.28,0.261
21599,0.255,0.301,0.259,0.185
21600,0.129,0.195,0.155,0.521
21601,0.142,0.168,0.217,0.473
21602,0.089,0.436,0.274,0.201
21603,0.346,0.124,0.17,0.36
21604,0.16,0.127,0.37,0.343
21605,0.117,0.094,0.544,0.245
21606,0.273,0.078,0.338,0.311
21607,0.436,0.207,0.109,0.248
21608,0.133,0.494,0.089,0.284
21609,0.087,0.084,0.432,0.397
21610,0.235,0.328,0.074,0.363
21611,0.09,0.145,0.415,0.35
21612,0.554,0.09,0.225,0.131
21613,0.075,0.221,0.334,0.37
21614,0.083,0.347,0.309,0.261
21615,0.31,0.297,0.087,0.306
21616,0.138,0.062,0.597,0.203
21617,0.222,0.222,0.248,0.308
21618,0.227,0.109,0.248,0.416
21619,0.203,0.2,0.128,0.469
21620,0.094,0.527,0.08,0.299
21621,0.105,0.37,0.199,0.326
21622,0.099,0.249,0.197,0.455
21623,0.284,0.287,0.141,0.288
21624,0.296,0.402,0.116,0.186
21625,0.136,0.17,0.422,0.272
21626,0.444,0.153,0.131,0.272
21627,0.102,0.196,0.421,0.281
21628,0.24,0.476,0.138,0.146
21629,0.408,0.152,0.127,0.313
21630,0.128,0.18,0.259,0.433
21631,0.14,0.152,0.491,0.217
21632,0.096,0.203,0.477,0.224
21633,0.145,0.207,0.229,0.419
21634,0.216,0.472,0.147,0.165
21635,0.093,0.582,0.159,0.166
21636,0.331,0.258,0.107,0.304
21637,0.373,0.292,0.13,0.205
21638,0.228,0.282,0.312,0.178
21639,0.144,0.529,0.109,0.218
21640,0.321,0.26,0.237,0.182
21641,0.252,0.266,0.328,0.154
21642,0.396,0.15,0.256,0.198
21643,0.09,0.264,0.481,0.165
21644,0.195,0.215,0.321,0.269
21645,0.206,0.489,0.117,0.188
21646,0.123,0.186,0.425,0.266
21647,0.146,0.236,0.317,0.301
21648,0.248,0.236,0.321,0.195
21649,0.397,0.228,0.202,0.173
21650,0.116,0.299,0.301,0.284
21651,0.317,0.126,0.218,0.339
21652,0.143,0.125,0.244,0.488
21653,0.439,0.148,0.204,0.209
21654,0.491,0.127,0.201,0.181
21655,0.309,0.095,0.427,0.169
21656,0.329,0.111,0.242,0.318
21657,0.45,0.202,0.139,0.209
21658,0.35,0.224,0.15,0.276
21659,0.463,0.121,0.202,0.214
21660,0.14,0.138,0.22,0.502
21661,0.27,0.249,0.157,0.324
21662,0.106,0.449,0.127,0.318
21663,0.138,0.218,0.491,0.153
21664,0.112,0.39,0.207,0.291
21665,0.276,0.278,0.192,0.254
21666,0.145,0.315,0.151,0.389
21667,0.091,0.285,0.252,0.372
21668,0.242,0.301,0.134,0.323
21669,0.159,0.299,0.154,0.388
21670,0.125,0.466,0.108,0.301
21671,0.087,0.348,0.442,0.123
21672,0.108,0.193,0.375,0.324
21673,0.235,0.318,0.117,0.33
21674,0.319,0.169,0.198,0.314
21675,0.379,0.163,0.118,0.34
21676,0.1,0.549,0.152,0.199
21677,0.572,0.09,0.169,0.169
21678,0.146,0.304,0.404,0.146
21679,0.145,0.461,0.088,0.306
21680,0.29,0.128,0.369,0.213
21681,0.323,0.166,0.177,0.334
21682,0.236,0.311,0.136,0.317
21683,0.312,0.145,0.221,0.322
21684,0.317,0.142,0.168,0.373
21685,0.15,0.311,0.147,0.392
21686,0.13,0.399,0.292,0.179
21687,0.231,0.155,0.303,0.311
21688,0.308,0.147,0.18,0.365
21689,0.222,0.454,0.119,0.205
21690,0.44,0.265,0.109,0.186
21691,0.258,0.409,0.105,0.228
21692,0.083,0.299,0.417,0.201
21693,0.113,0.501,0.102,0.284
21694,0.139,0.34,0.13,0.391
21695,0.345,0.23,0.268,0.157
21696,0.409,0.239,0.131,0.221
21697,0.345,0.268,0.2,0.187
21698,0.174,0.121,0.517,0.188
21699,0.369,0.361,0.08,0.19
21700,0.395,0.137,0.08,0.388
21701,0.559,0.108,0.093,0.24
21702,0.167,0.184,0.166,0.483
21703,0.185,0.189,0.113,0.513
21704,0.159,0.249,0.357,0.235
21705,0.088,0.09,0.561,0.261
21706,0.106,0.393,0.108,0.393
21707,0.08,0.45,0.278,0.192
21708,0.087,0.453,0.217,0.243
21709,0.191,0.149,0.099,0.561
21710,0.228,0.093,0.097,0.582
21711,0.092,0.35,0.356,0.202
21712,0.108,0.249,0.109,0.534
21713,0.512,0.154,0.145,0.189
21714,0.1,0.476,0.082,0.342
21715,0.304,0.088,0.291,0.317
21716,0.107,0.154,0.322,0.417
21717,0.184,0.096,0.323,0.397
21718,0.228,0.416,0.104,0.252
21719,0.178,0.183,0.265,0.374
21720,0.384,0.221,0.125,0.27
21721,0.145,0.191,0.448,0.216
21722,0.4,0.174,0.201,0.225
21723,0.224,0.181,0.176,0.419
21724,0.299,0.187,0.251,0.263
21725,0.112,0.207,0.315,0.366
21726,0.082,0.28,0.346,0.292
21727,0.243,0.107,0.446,0.204
21728,0.127,0.186,0.313,0.374
21729,0.223,0.27,0.117,0.39
21730,0.243,0.165,0.232,0.36
21731,0.255,0.192,0.359,0.194
21732,0.28,0.185,0.122,0.413
21733,0.412,0.289,0.118,0.181
21734,0.123,0.371,0.302,0.204
21735,0.177,0.324,0.161,0.338
21736,0.525,0.17,0.112,0.193
21737,0.227,0.272,0.286,0.215
21738,0.225,0.245,0.335,0.195
21739,0.205,0.377,0.265,0.153
21740,0.138,0.377,0.327,0.158
21741,0.159,0.316,0.234,0.291
21742,0.156,0.358,0.29,0.196
21743,0.394,0.18,0.139,0.287
21744,0.292,0.23,0.336,0.142
21745,0.222,0.157,0.332,0.289
21746,0.254,0.317,0.116,0.313
21747,0.326,0.386,0.13,0.158
21748,0.238,0.337,0.272,0.153
21749,0.14,0.255,0.275,0.33
21750,0.147,0.145,0.454,0.254
21751,0.304,0.133,0.269,0.294
21752,0.329,0.159,0.131,0.381
21753,0.25,0.205,0.186,0.359
21754,0.115,0.35,0.145,0.39
21755,0.149,0.234,0.251,0.366
21756,0.125,0.426,0.211,0.238
21757,0.167,0.42,0.098,0.315
21758,0.187,0.373,0.14,0.3
21759,0.306,0.273,0.206,0.215
21760,0.217,0.119,0.294,0.37
21761,0.081,0.135,0.536,0.248
21762,0.088,0.631,0.1,0.181
21763,0.442,0.106,0.097,0.355
21764,0.293,0.065,0.437,0.205
21765,0.403,0.114,0.142,0.341
21766,0.085,0.444,0.108,0.363
21767,0.107,0.187,0.421,0.285
21768,0.122,0.428,0.277,0.173
21769,0.166,0.267,0.111,0.456
21770,0.099,0.328,0.337,0.236
21771,0.082,0.167,0.411,0.34
21772,0.115,0.347,0.243,0.295
21773,0.306,0.367,0.12,0.207
21774,0.079,0.193,0.395,0.333
21775,0.236,0.301,0.163,0.3
21776,0.334,0.282,0.139,0.245
21777,0.116,0.146,0.402,0.336
21778,0.263,0.182,0.133,0.422
21779,0.367,0.189,0.11,0.334
21780,0.148,0.14,0.412,0.3
21781,0.119,0.128,0.499,0.254
21782,0.337,0.126,0.352,0.185
21783,0.197,0.141,0.151,0.511
21784,0.538,0.198,0.094,0.17
21785,0.148,0.51,0.21,0.132
21786,0.158,0.179,0.227,0.436
21787,0.112,0.579,0.106,0.203
21788,0.348,0.183,0.116,0.353
21789,0.137,0.188,0.218,0.457
21790,0.466,0.115,0.129,0.29
21791,0.222,0.177,0.164,0.437
21792,0.127,0.207,0.383,0.283
21793,0.144,0.19,0.457,0.209
21794,0.093,0.335,0.284,0.288
21795,0.291,0.09,0.466,0.153
21796,0.219,0.266,0.268,0.247
21797,0.365,0.334,0.094,0.207
21798,0.474,0.086,0.212,0.228
21799,0.142,0.146,0.168,0.544
21800,0.113,0.14,0.276,0.471
21801,0.126,0.258,0.311,0.305
21802,0.111,0.14,0.455,0.294
21803,0.121,0.118,0.367,0.394
21804,0.261,0.374,0.165,0.2
21805,0.417,0.117,0.114,0.352
21806,0.104,0.444,0.137,0.315
21807,0.133,0.34,0.149,0.378
21808,0.214,0.119,0.135,0.532
21809,0.522,0.115,0.1,0.263
21810,0.571,0.091,0.138,0.2
21811,0.226,0.424,0.214,0.136
21812,0.109,0.112,0.43,0.349
21813,0.274,0.386,0.141,0.199
21814,0.182,0.356,0.288,0.174
21815,0.356,0.122,0.302,0.22
21816,0.263,0.334,0.209,0.194
21817,0.228,0.126,0.461,0.185
21818,0.155,0.197,0.399,0.249
21819,0.279,0.145,0.199,0.377
21820,0.548,0.134,0.121,0.197
21821,0.127,0.167,0.382,0.324
21822,0.248,0.463,0.131,0.158
21823,0.115,0.309,0.371,0.205
21824,0.119,0.363,0.339,0.179
21825,0.122,0.371,0.173,0.334
21826,0.146,0.459,0.262,0.133
21827,0.076,0.142,0.58,0.202
21828,0.115,0.456,0.152,0.277
21829,0.152,0.274,0.385,0.189
21830,0.256,0.187,0.323,0.234
21831,0.208,0.313,0.155,0.324
21832,0.188,0.36,0.142,0.31
21833,0.363,0.141,0.271,0.225
21834,0.393,0.18,0.236,0.191
21835,0.153,0.373,0.179,0.295
21836,0.122,0.144,0.389,0.345
21837,0.16,0.151,0.298,0.391
21838,0.139,0.248,0.363,0.25
21839,0.127,0.337,0.177,0.359
21840,0.323,0.251,0.188,0.238
21841,0.3,0.207,0.21,0.283
21842,0.115,0.281,0.367,0.237
21843,0.262,0.138,0.277,0.323
21844,0.105,0.354,0.3,0.241
21845,0.198,0.165,0.25,0.387
21846,0.133,0.394,0.169,0.304
21847,0.421,0.126,0.206,0.247
21848,0.226,0.18,0.188,0.406
21849,0.331,0.349,0.11,0.21
21850,0.344,0.221,0.127,0.308
21851,0.152,0.545,0.125,0.178
21852,0.331,0.248,0.125,0.296
21853,0.099,0.243,0.298,0.36
21854,0.306,0.151,0.185,0.358
21855,0.107,0.224,0.212,0.457
21856,0.384,0.157,0.29,0.169
21857,0.129,0.227,0.199,0.445
21858,0.457,0.09,0.113,0.34
21859,0.459,0.103,0.137,0.301
21860,0.473,0.16,0.114,0.253
21861,0.093,0.217,0.458,0.232
21862,0.109,0.466,0.173,0.252
21863,0.087,0.369,0.177,0.367
21864,0.192,0.433,0.114,0.261
21865,0.131,0.248,0.386,0.235
21866,0.216,0.107,0.381,0.296
21867,0.109,0.127,0.175,0.589
21868,0.11,0.12,0.284,0.486
21869,0.218,0.11,0.178,0.494
21870,0.169,0.137,0.225,0.469
21871,0.45,0.119,0.116,0.315
21872,0.085,0.441,0.216,0.258
21873,0.368,0.295,0.212,0.125
21874,0.097,0.57,0.137,0.196
21875,0.265,0.238,0.12,0.377
21876,0.514,0.124,0.133,0.229
21877,0.104,0.247,0.144,0.505
21878,0.314,0.459,0.078,0.149
21879,0.143,0.223,0.129,0.505
21880,0.484,0.137,0.184,0.195
21881,0.133,0.191,0.189,0.487
21882,0.181,0.161,0.164,0.494
21883,0.116,0.227,0.181,0.476
21884,0.164,0.349,0.088,0.399
21885,0.11,0.281,0.112,0.497
21886,0.165,0.175,0.151,0.509
21887,0.136,0.124,0.353,0.387
21888,0.098,0.192,0.378,0.332
21889,0.247,0.257,0.211,0.285
21890,0.317,0.14,0.167,0.376
21891,0.374,0.125,0.273,0.228
21892,0.142,0.326,0.152,0.38
21893,0.151,0.396,0.133,0.32
21894,0.15,0.143,0.234,0.473
21895,0.08,0.151,0.512,0.257
21896,0.405,0.141,0.235,0.219
21897,0.162,0.408,0.229,0.201
21898,0.149,0.247,0.233,0.371
21899,0.174,0.138,0.496,0.192
21900,0.175,0.149,0.19,0.486
21901,0.13,0.481,0.119,0.27
21902,0.102,0.177,0.47,0.251
21903,0.102,0.114,0.497,0.287
21904,0.209,0.155,0.211,0.425
21905,0.094,0.309,0.21,0.387
21906,0.135,0.242,0.148,0.475
21907,0.119,0.272,0.183,0.426
21908,0.267,0.361,0.141,0.231
21909,0.188,0.272,0.266,0.274
21910,0.273,0.332,0.18,0.215
21911,0.332,0.316,0.177,0.175
21912,0.143,0.479,0.105,0.273
21913,0.174,0.242,0.3,0.284
21914,0.133,0.131,0.333,0.403
21915,0.216,0.267,0.228,0.289
21916,0.122,0.289,0.23,0.359
21917,0.169,0.282,0.173,0.376
21918,0.083,0.275,0.415,0.227
21919,0.196,0.097,0.544,0.163
21920,0.195,0.355,0.129,0.321
21921,0.114,0.593,0.103,0.19
21922,0.265,0.385,0.111,0.239
21923,0.158,0.253,0.186,0.403
21924,0.142,0.272,0.249,0.337
21925,0.327,0.316,0.166,0.191
21926,0.244,0.288,0.142,0.326
21927,0.117,0.169,0.354,0.36
21928,0.106,0.431,0.117,0.346
21929,0.129,0.127,0.163,0.581
21930,0.107,0.234,0.171,0.488
21931,0.144,0.209,0.142,0.505
21932,0.087,0.105,0.367,0.441
21933,0.089,0.349,0.086,0.476
21934,0.102,0.299,0.121,0.478
21935,0.144,0.149,0.156,0.551
21936,0.174,0.186,0.137,0.503
21937,0.094,0.125,0.421,0.36
21938,0.107,0.302,0.13,0.461
21939,0.125,0.263,0.138,0.474
21940,0.361,0.173,0.115,0.351
21941,0.108,0.114,0.203,0.575
21942,0.125,0.458,0.159,0.258
21943,0.107,0.281,0.122,0.49
21944,0.088,0.392,0.247,0.273
21945,0.102,0.283,0.139,0.476
21946,0.249,0.279,0.173,0.299
21947,0.383,0.277,0.103,0.237
21948,0.104,0.51,0.207,0.179
21949,0.221,0.241,0.165,0.373
21950,0.116,0.423,0.124,0.337
21951,0.104,0.27,0.255,0.371
21952,0.232,0.159,0.23,0.379
21953,0.33,0.192,0.111,0.367
21954,0.296,0.126,0.17,0.408
21955,0.361,0.144,0.166,0.329
21956,0.129,0.262,0.152,0.457
21957,0.229,0.135,0.302,0.334
21958,0.107,0.554,0.134,0.205
21959,0.135,0.143,0.154,0.568
21960,0.133,0.415,0.12,0.332
21961,0.247,0.12,0.315,0.318
21962,0.399,0.153,0.199,0.249
21963,0.088,0.482,0.221,0.209
21964,0.102,0.127,0.542,0.229
21965,0.108,0.137,0.239,0.516
21966,0.123,0.124,0.239,0.514
21967,0.381,0.107,0.293,0.219
21968,0.226,0.31,0.11,0.354
21969,0.103,0.181,0.163,0.553
21970,0.251,0.178,0.141,0.43
21971,0.143,0.281,0.41,0.166
21972,0.269,0.163,0.126,0.442
21973,0.343,0.119,0.107,0.431
21974,0.481,0.156,0.116,0.247
21975,0.128,0.15,0.236,0.486
21976,0.329,0.189,0.334,0.148
21977,0.122,0.265,0.199,0.414
21978,0.213,0.104,0.177,0.506
21979,0.167,0.18,0.139,0.514
21980,0.085,0.417,0.13,0.368
21981,0.105,0.282,0.187,0.426
21982,0.12,0.165,0.171,0.544
21983,0.117,0.114,0.201,0.568
21984,0.223,0.234,0.148,0.395
21985,0.105,0.488,0.101,0.306
21986,0.114,0.184,0.512,0.19
21987,0.111,0.313,0.192,0.384
21988,0.203,0.247,0.184,0.366
21989,0.126,0.271,0.144,0.459
21990,0.089,0.256,0.212,0.443
21991,0.231,0.245,0.127,0.397
21992,0.141,0.234,0.178,0.447
21993,0.101,0.409,0.097,0.393
21994,0.088,0.336,0.421,0.155
21995,0.074,0.192,0.335,0.399
21996,0.228,0.286,0.096,0.39
21997,0.263,0.184,0.169,0.384
21998,0.301,0.143,0.117,0.439
21999,0.081,0.582,0.159,0.178
22000,0.554,0.089,0.176,0.181
22001,0.136,0.345,0.339,0.18
22002,0.114,0.394,0.094,0.398
22003,0.106,0.262,0.426,0.206
22004,0.342,0.33,0.116,0.212
22005,0.36,0.124,0.203,0.313
22006,0.108,0.348,0.205,0.339
22007,0.222,0.375,0.128,0.275
22008,0.1,0.248,0.378,0.274
