No,Ch1,Ch2,Ch3,Ch4,Result,ANS,Accuracy
17253,0.46,0.206,0.097,0.237,Ch1,Ch2,0
17254,0.278,0.471,0.091,0.16,Ch2,Ch2,1
17255,0.411,0.161,0.285,0.143,Ch1,Ch3,0
17256,0.221,0.48,0.158,0.141,Ch2,Ch2,1
17257,0.091,0.132,0.314,0.463,Ch4,Ch3,0
17258,0.114,0.284,0.135,0.467,Ch4,Ch2,0
17259,0.125,0.588,0.122,0.165,Ch2,Ch2,1
17260,0.165,0.259,0.194,0.382,Ch4,Ch3,0
17261,0.526,0.143,0.107,0.224,Ch1,Ch1,1
17262,0.15,0.147,0.153,0.55,Ch4,Ch4,1
17263,0.105,0.347,0.107,0.441,Ch4,Ch2,0
17264,0.23,0.475,0.1,0.195,Ch2,Ch2,1
17265,0.078,0.621,0.107,0.194,Ch2,Ch2,1
17266,0.083,0.425,0.205,0.287,Ch2,Ch2,1
17267,0.118,0.411,0.082,0.389,Ch2,Ch2,1
17268,0.13,0.402,0.108,0.36,Ch2,Ch1,0
17269,0.128,0.259,0.178,0.435,Ch4,Ch4,1
17270,0.149,0.162,0.156,0.533,Ch4,Ch4,1
17271,0.219,0.132,0.125,0.524,Ch4,Ch4,1
17272,0.209,0.283,0.322,0.186,Ch3,Ch3,1
17273,0.167,0.503,0.117,0.213,Ch2,Ch1,0
17274,0.148,0.151,0.433,0.268,Ch3,Ch3,1
17275,0.239,0.376,0.094,0.291,Ch2,Ch2,1
17276,0.252,0.141,0.363,0.244,Ch3,Ch2,0
17277,0.293,0.174,0.266,0.267,Ch1,Ch2,0
17278,0.122,0.325,0.32,0.233,Ch2,Ch2,1
17279,0.276,0.185,0.265,0.274,Ch1,Ch1,1
17280,0.299,0.362,0.127,0.212,Ch2,Ch3,0
17281,0.391,0.112,0.205,0.292,Ch1,Ch3,0
17282,0.142,0.356,0.183,0.319,Ch2,Ch2,1
17283,0.162,0.117,0.528,0.193,Ch3,Ch1,0
17284,0.108,0.13,0.518,0.244,Ch3,Ch2,0
17285,0.47,0.127,0.163,0.24,Ch1,Ch2,0
17286,0.165,0.145,0.273,0.417,Ch4,Ch1,0
17287,0.163,0.414,0.11,0.313,Ch2,Ch1,0
17288,0.457,0.202,0.129,0.212,Ch1,Ch1,1
17289,0.385,0.136,0.227,0.252,Ch1,Ch3,0
17290,0.236,0.163,0.121,0.48,Ch4,Ch3,0
17291,0.255,0.14,0.359,0.246,Ch3,Ch1,0
17292,0.151,0.442,0.134,0.273,Ch2,Ch2,1
17293,0.304,0.18,0.192,0.324,Ch4,Ch4,1
17294,0.307,0.168,0.293,0.232,Ch1,Ch1,1
17295,0.314,0.17,0.162,0.354,Ch4,Ch4,1
17296,0.098,0.131,0.461,0.31,Ch3,Ch4,0
17297,0.138,0.12,0.438,0.304,Ch3,Ch4,0
17298,0.153,0.303,0.156,0.388,Ch4,Ch4,1
17299,0.433,0.127,0.174,0.266,Ch1,Ch1,1
17300,0.528,0.106,0.105,0.261,Ch1,Ch1,1
17301,0.067,0.182,0.479,0.272,Ch3,Ch3,1
17302,0.318,0.135,0.118,0.429,Ch4,Ch4,1
17303,0.101,0.371,0.159,0.369,Ch2,Ch4,0
