Task,Ch1,Ch2,Ch3,Ch4,test,,Ch1,Ch2,Ch3,Ch4,,
3,0.152,0.618,0.096,0.134,Ch2,,0,1,0,0,Ch2,1
4,0.148,0.566,0.138,0.148,Ch2,,0,1,0,0,Ch2,1
4,0.102,0.642,0.12,0.136,Ch2,,0,1,0,0,Ch2,1
7,0.09,0.714,0.102,0.094,Ch2,,0,1,0,0,Ch2,1
7,0.136,0.648,0.088,0.128,Ch2,,0,1,0,0,Ch2,1
10,0.004,0.886,0.022,0.088,Ch2,,0,1,0,0,Ch2,1
12,0.088,0.69,0.13,0.092,Ch2,,0,1,0,0,Ch2,1
12,0.002,0.882,0.028,0.088,Ch2,,0,1,0,0,Ch2,1
13,0.082,0.7,0.1,0.118,Ch2,,0,1,0,0,Ch2,1
13,0.096,0.636,0.132,0.136,Ch2,,0,1,0,0,Ch2,1
13,0.002,0.882,0.03,0.086,Ch2,,0,1,0,0,Ch2,1
16,0.07,0.408,0.38,0.142,Ch2,,0,0,1,0,Ch3,0
16,0.092,0.482,0.278,0.148,Ch2,,0,0,1,0,Ch3,0
17,0.09,0.7,0.1,0.11,Ch2,,0,1,0,0,Ch2,1
17,0.086,0.742,0.066,0.106,Ch2,,0,1,0,0,Ch2,1
17,0.014,0.682,0.206,0.098,Ch2,,0,1,0,0,Ch2,1
18,0.104,0.668,0.124,0.104,Ch2,,0,1,0,0,Ch2,1
18,0.08,0.716,0.096,0.108,Ch2,,0,1,0,0,Ch2,1
19,0.088,0.638,0.124,0.15,Ch2,,0,1,0,0,Ch2,1
1,0.21,0.376,0.156,0.258,Ch2,,0,1,0,0,Ch2,1
1,0.512,0.21,0.128,0.15,Ch1,,0,1,0,0,Ch2,0
3,0.514,0.106,0.182,0.198,Ch1,,0,0,0,1,Ch4,0
4,0.132,0.23,0.504,0.134,Ch3,,0,0,1,0,Ch3,1
4,0.468,0.112,0.212,0.208,Ch1,,0,0,1,0,Ch3,0
5,0.382,0.07,0.266,0.282,Ch1,,0,0,0,1,Ch4,0
7,0.148,0.11,0.186,0.556,Ch4,,0,0,0,1,Ch4,1
7,0.14,0.202,0.232,0.426,Ch4,,0,0,0,1,Ch4,1
7,0.338,0.046,0.27,0.346,Ch4,,0,0,0,1,Ch4,1
8,0.334,0.138,0.28,0.248,Ch1,,1,0,0,0,Ch1,1
9,0.154,0.126,0.282,0.438,Ch4,,0,0,0,1,Ch4,1
10,0.256,0.06,0.102,0.582,Ch4,,0,0,1,0,Ch3,0
11,0.126,0.102,0.098,0.674,Ch4,,0,0,0,1,Ch4,1
11,0.226,0.056,0.082,0.636,Ch4,,0,0,0,1,Ch4,1
12,0.108,0.09,0.162,0.64,Ch4,,0,0,0,1,Ch4,1
12,0.206,0.062,0.066,0.666,Ch4,,0,0,0,1,Ch4,1
14,0.212,0.062,0.05,0.676,Ch4,,0,0,0,1,Ch4,1
15,0.222,0.064,0.046,0.668,Ch4,,0,0,0,1,Ch4,1
17,0.26,0.066,0.038,0.636,Ch4,,0,0,0,1,Ch4,1
19,0.104,0.13,0.146,0.62,Ch4,,0,0,0,1,Ch4,1
19,0.374,0.084,0.05,0.492,Ch4,,0,0,0,1,Ch4,1
1,0.15,0.404,0.274,0.172,Ch2,,0,1,0,0,Ch2,1
2,0.298,0.46,0.108,0.134,Ch2,,0,1,0,0,Ch2,1
3,0.5,0.21,0.15,0.14,Ch1,,1,0,0,0,Ch1,1
